Response,Informant
a little way,VA65C!
a little ways,VA65C!
a little ways,VA66A
a little ways,VA66B
a little ways,VA67A
a little piece,VA67A
a little ways,VA67B
a little ways,VA68A
a little ways,VA68B
a little ways,VA69A
a little ways,VA69B
a little ways,VA70A
a little ways,VA70B
a little ways,VA71A
a little piece,VA71A
a little ways,VA71B
a little ways,VA72A
a little piece,VA72A
a little ways,VA72B
a little piece,VA72B
a little ways,VA73
a little piece,VA73
a little ways,VA74A
a little piece,VA74B!
a little ways,VA74B!
a little piece,VA75A
a little ways,VA75A
a little ways,VA75B
a little piece,VA75B
a little ways,NC1
a little ways,NC2A
a little ways,NC2B
a little ways,NC3A
a little ways,NC3B
a little ways,NC4A
a little ways,NC4B
a little ways,NC5A
a little ways,NC5B
a little ways,NC6!
a little ways,NC7A
a little ways,NC7B
a little ways,NC8N
a little piece,NC8A
a little ways,NC8A
a little piece,NC8B
a little ways,NC8B
a little ways,NC9A
a little ways,NC9B
a little ways,NC10A
a little ways,NC10B
ways,NC10C
a little ways,NC11A
a little ways,NC11B
a little ways,NC12A
a little ways,NC12B
a little ways,NC13A
a little piece,NC13B
a little ways,NC13B
a little ways,NC14N
a little piece,NC14A
a little ways,NC14A
a little ways,NC14B
a little ways,NC14C!
a little ways,NC15A
a little ways,NC15B
a little piece,NC15B
a little ways,NC15C
a little ways,NC16A
a little ways,NC16B
a little ways,NC17A
a little ways,NC17B
a little ways,NC18A
a little piece,NC18A
a little ways,NC18B
a little piece,NC18B
a little ways,NC19A
a little ways,NC19B
a little ways,NC20A
a little piece,NC20B
a little ways,NC20B
a little ways,NC20C
a little ways,NC21A
a little ways,NC21B
a little ways,NC22A
a little piece,NC22B
a little ways,NC22B
a little piece,NC23A
a little ways,NC23A
a little piece,NC23B
a little ways,NC23B
a little piece,NC23C!
a little ways,NC23C!
a little piece,NC23D!
a little ways,NC23D!
a little piece,NC24N
a little ways,NC24N
a little piece,NC24A
a little ways,NC24A
a little piece,NC24B
a little ways,NC24B
a little ways,NC25N
a little piece,NC25A
a little ways,NC25B
a little ways,NC26A
a little piece,NC26A
a little ways,NC26B
a little way,NC26C!
a little ways,NC26C!
a little piece,NC26C!
a little ways,NC27A
a little piece,NC27A
a little ways,NC27B
a little piece,NC27B
a little piece,NC28A
a little piece,NC28B
a little ways,NC28B
a little piece,NC28C
a little ways,NC28C
a little ways,NC29A
a little ways,NC29B
a little piece,NC29B
a little ways,NC30A
a little ways,NC30B
a little ways,NC31A
a little ways,NC31B
a little ways,NC32A
a little ways,NC32B!
a little ways,NC33A
a little ways,NC33B
a little ways,NC34A
a little ways,NC34B
a little ways,NC35A
a little ways,NC35B
a little piece,NC35B
a little piece,NC36N
a little ways,NC36N
a little ways,NC36A
a little piece,NC36A
a little ways,NC36B
a little piece,NC36B
a little ways,NC37A
a little ways,NC37B
a little ways,NC38N
a little ways,NC38A
a little ways,NC38B
a little ways,NC39A
a little way,NC39B!
a little ways,NC40A
a little ways,NC40B
a little ways,NC41!
a little piece,NC42A
a little ways,NC42A
a little piece,NC42B
a little ways,NC42B
a little ways,NC43A
a little ways,NC43B
a little piece,NC44
a little ways,NC44
a little ways,NC45A
a little piece,NC45A
a little ways,NC45B
a little piece,NC45B
a little piece,NC46A
a little piece,NC46B
a little ways,NC46B
a little ways,NC46C!
a little piece,NC46C!
a little ways,NC47
a little piece,NC48
a little piece,NC49
a little piece,NC50A
a little ways,NC50B!
a little piece,NC50B!
a little ways,NC51A
a little piece,NC51A
a little ways,NC51B
a little piece,NC51B
a little piece,NC52N
a little ways,NC52A
a little piece,NC52A
a little piece,NC52B
a little ways,NC52B
a little ways,NC53A
a little piece,NC53A
a little ways,NC53B
a little piece,NC53B
a little ways,NC54A
a little piece,NC54B
a little ways,NC54B
a little piece,NC55
a little piece,NC56A
a little way,NC56B!
a little piece,NC57A
a little ways,NC57A
a little ways,NC57B
a little piece,NC57B
a little piece,NC58A
a little ways,NC58A
a little piece,NC58B
a little ways,NC58B
a little ways,NC59
a little ways,NC60
a little piece,NC60
a little piece,NC61A
a little piece,NC61B
a little ways,NC61B
a little ways,NC62A
a little piece,NC62A
a little piece,NC62B
a little ways,NC62B
a little piece,NC63A
a little ways,NC63A
a little ways,NC63B
a little piece,NC63B
a little piece,NC64A
a little ways,NC64A
a little piece,NC64B
a little ways,NC64B
a little ways,NC65A
a little piece,NC65A
a little ways,NC65B
a little piece,NC66A
a little ways,NC66A
a little piece,NC66B
a little ways,NC66B
a little ways,NC67A
a little piece,NC67A
a little ways,NC67B
a little ways,NC68A
a little piece,NC68A
a little ways,NC68B
a little piece,NC68B
a little ways,NC69A
a little piece,NC69A
a little ways,NC69B
a little piece,NC70A
a little ways,NC70A
a little piece,NC70B
a little ways,NC70B
a little ways,NC71A
a little piece,NC71A
a little ways,NC71B
a little piece,NC71B
a little ways,NC71C!
a little piece,NC71C!
a little piece,NC72A
a little ways,NC72A
a little piece,NC72B
a little ways,NC72B
a little ways,NC73A
a little piece,NC73A
a little ways,NC73B
a little piece,NC74A
a little ways,NC74A
a little ways,NC74B
a little piece,NC74B
a little ways,NC75A
a little piece,NC75A
a little ways,NC75B
a little piece,NC75B
a little piece,SC1A
a little ways,SC1A
a little ways,SC1B
a little piece,SC1B
a little ways,SC2A
a little piece,SC2A
a little piece,SC2B
a little ways,SC2B
a little piece,SC2C
a little ways,SC2C
a little ways,SC3A
a little piece,SC3B
a short ways,SC3C!
a piece,SC3C!
a piece,SC4A
a little piece,SC4B
a piece,SC4B
a little piece,SC4C
a piece,SC4C
a short distance,SC5A
a piece,SC5A
a little ways,SC5A
a short ways,SC5A
a little ways off,SC5C
a little ways,SC5D!
a little distance,SC6N
a little ways,SC6A
a piece,SC6B
a little ways,SC6B
a little ways,SC6C!
a little ways,SC7A
over yonder,SC7A
a little piece,SC7A
a short distance,SC7B
two looks and a holler,SC7B
a little ways,SC7B
a little piece,SC7B
a piece,SC7C!
a short distance,SC7D!
a piece,SC7D!
a ways,SC7D!
a little piece,SC8A
a little ways,SC8B
a little piece,SC8B
little piece,SC8C
a piece,SC8C
little bit,SC8C
a piece,SC9A
a little piece,SC9A
a little ways,SC9B
a little piece,SC9B
a little ways,SC9C!
a little piece,SC9C!
a little ways,SC9D!
a little ways,SC10A
a short distance,SC10A
a little ways,SC10B!
a little ways,SC10C!
a little ways,SC11N
a little distance,SC11N
a short way,SC11M!
a little piece,SC11M!
a short distance off,SC11A
a little ways,SC11A
a little ways,SC11B
a little piece,SC11C
a little way,SC11C
a little way off,SC11D
two looks and a holler,SC11E
a short piece,SC11E
a little ways,SC11F
a little way,SC11F
a short way,SC11G!
a piece,SC11H!
a little way,SC11H!
a little piece,SC11H!
a little ways,SC11I!
a little way,SC11I!
a short way,SC11J!
a little way,SC11J!
a little piece,SC12A
a little ways,SC12B
a little ways,SC13
a little ways,SC14A
a short distance,SC14B
a piece,SC15A
a little piece,SC15A
a piece,SC15B
a little piece,SC15B
a little piece,SC16N
a little piece,SC17A
a little piece,SC17B
a piece,SC17B
a piece,SC17D
a short piece,SC17D
a little ways,SC18N
a little piece,SC18N
a little way,SC18A
a little way,SC18B
a little ways,SC18C!
a little ways,SC19N
a close piece,SC19B
a little piece,SC19B
a little distance,SC19B
a piece,SC19D!
a little ways,SC20A
off a piece,SC20B
a little piece,SC20B
a little piece,SC20C
a piece,SC20C
a short distance,SC20C
a little ways,SC20D!
a little piece,SC21A
a little ways,SC21A
a little piece,SC21B
a little ways,SC21B
a short distance,SC22A
a little way,SC22A
a little way,SC22B
a short way,SC22C!
a piece,SC23A
a little piece,SC23A
a little ways,SC23A
short distance,SC23B
a little ways,SC23C
a ways,SC24A
a little piece,SC24A
a little distance,SC24A
a little ways,SC24B
a little piece,SC24B
a little ways,SC24C
a little ways,SC25A
a little ways,SC25B
a little bit,SC25B
a short distance,SC25B
short way,SC25C!
short piece,SC25C!
a piece,SC25C!
a little ways,SC26A
a little piece,SC27A
a little distance,SC27A
a little piece,SC27B
a short distance,SC28A
a little ways,SC28A
a short ways,SC28A
a little piece,SC28B
a little ways,SC28B
a short ways,SC28C
a little piece,SC28D
a little ways,SC28D
a little bit,SC29A
a little ways,SC29A
a little ways,SC29B
a little piece,SC29C
a piece away,SC29C
a little piece,SC29D
a little ways,SC30A
a little piece,SC30B
a little way,SC30C!
a short distance,SC30C!
a mile or so,SC30C!
little piece,SC31A
a little ways,SC31A
a short distance,SC31A
a little piece,SC31B
a little ways,SC32A
a little ways,SC32C
a little ways,SC32D
a little piece,SC33A
a little piece,SC33B
a little ways,SC33B
a little piece,SC34A
a little ways,SC34A
a little piece,SC34B
a little ways,SC34B
a little ways,SC34C
a little piece,SC35A
a little piece,SC35B
a way,SC35C
a little over,SC35C
a little piece,SC35C
a little ways,SC35C
a few miles,SC36A
a little piece,SC36A
little piece,SC36B
a little ways,SC36B
short piece,SC36B
a little piece,SC36B
a short distance,SC36C
a little ways,SC36C
a little way,SC36D!
a short piece,SC37
a little distance,SC37
a little ways,SC38N
a little piece,SC38N
a short distance,SC38N
a little piece,SC38A
just a piece,SC38A
a little ways,SC38B
a little piece,SC38B
short distance,SC38B
a little way,SC38C!
a little way,SC38D!
a short distance,SC38D!
a little bitty (one),SC39B!
little ways,SC39B!
little bitty,SC39B!
a little piece,SC39B!
a little piece,SC40A
a little ways,SC40A
short distance,SC40A
it wasn't so far,SC40A
short distance,SC40B
little piece,SC40B
a little ways,SC40B
little distance,SC40B
a little ways,SC41A
short ways,SC41B
a little ways,SC41B
a piece way,SC42N
just a few steps,SC42N
a little ways,SC42N
a little piece,SC42A
short distance,SC42A
a little way,SC42B!
down the road a piece,SC42B!
just a step or two,SC42B!
over the hill,SC42B!
a little ways,SC42C!
a little way,SC42E!
that far,SC43A
a little,SC43A
a little ways,SC43B
a little ways,SC43C
a little ways,SC44A
a short piece,SC44B
a little piece,SC44B
a little ways,SC44B
a little far off,GA1N
a little ways,GA1B
a few blocks,GA1B
a short distance,GA1D
a piece up the road,GA1E
a short piece,GA1E
a little ways,GA1F!
a very short distance,GA1G!
a little way,GA1H!
a little ways,GA1H!
a little ways,GA2B
a little piece,GA2B
a little ways,GA3A
a little piece,GA3B
a little ways,GA4N
a little piece,GA4N
a near piece,GA4A
a little ways,GA4B
a way,GA4C!
a little way,GA4C!
a little ways,GA5A
a little ways,GA5B
a little ways,GA5C
a little ways,GA5D!
a little piece,GA5E!
a little ways,GA6A
a little ways,GA6B!
just a little ways,GA7
just a piece,GA7
for a piece,GA7
a little piece,GA8A
a little ways,GA8A
a little piece,GA8B
a little piece,GA9A
a short piece,GA9A
a piece,GA9A
a little ways,GA10A
a little piece,GA10B
a piece,GA10B
a little ways,GA11N
a little far,GA11N
a little ways,GA12B!
whoop and holler,GA12B!
a short distance,GA12B!
no ways,GA12B!
a little ways,GA13A
a little way,GA13B!
"it ain't so far, sir",GA13B!
a jump,GA13B!
a short piece,GA13B!
a little ways,GA14A
a piece,GA14A
a little way,GA14B
a little ways,GA14B
down the road a piece,GA14C
a little piece,GA14C
a little ways,GA14C
a little ways,GA15A
a little way,GA15B
a short piece,GA16A
a little bit,GA16A
a little piece,GA16A
a piece,GA16B
a little ways,GA16B
short distance,GA16C
a little piece,GA16D!
a little ways,GA17N
a little piece,GA17
short piece,GA17
a piece,GA18B
a little piece,GA19B
a little piece,GA20A
a little piece,GA21A
a short distance,GA22A
a short ways,GA22A
a little ways,GA22B
a little piece,GA23A
a little ways,GA23C
a little ways,GA23D!
a little way off,GA23E!
a little distance,GA23E!
a little bit,GA23F!
a little bit over,GA23F!
a few steps,GA24N
a little ways,GA24A
a few miles,GA24B
a little ways,GA24B
a little ways,GA25N
just a little piece,GA26
a way,GA26
a short piece,GA27!
two whoops and a holler,GA28
a little way,GA28
a little ways,GA29A
